count,n,ngram,label_1,label_2,label_3
6741189,0,,,,
1687826,1,the,,,
1179944,1,of,,,
934422,1,and,,,
536617,1,a,,,
525352,3,of the,,,
494115,1,in,,,
422775,1,with,,,
226459,3,in the,,,
206859,1,showing,,,
197630,1,left,left,,
195024,1,right,right,,
192198,1,to,,,
187778,1,b,,,
155556,1,after,,,
154777,1,on,,,
147896,1,at,,,
142115,1,ct,ct,,
141893,1,arrow,,,
140255,1,was,,,
125804,1,c,,,
111220,1,is,,,
109489,1,patient,,,
107065,1,images,,,
103109,3,the right,,,
98935,1,cells,pathology,,
98513,1,1,,,
98489,3,the left,,,
94351,1,from,,,
14630,1,carcinoma,,,
89572,1,2,,,
89144,1,for,,,
87553,1,shows,,,
85303,1,d,,,
83670,1,mri,mri,,
83667,1,image,,,
81737,1,by,,,
81441,1,tomography,ct,,
78930,1,e,,,
11047,1,infiltration,,,
74542,1,x,,,
8855,1,metastatic,malignant,,
70577,1,showed,,,
70104,1,view,,,
67653,1,scan,,,
67301,1,axial,,,
66335,1,arrows,,,
65877,1,an,,,
64784,1,are,,,
64638,1,imaging,,,
63574,1,were,,,
63449,3,to the,,,
61735,1,3,,,
61376,1,case,,,
61046,1,computed,,,
60599,1,weighted,,,
60454,3,at the,,,
59800,3,on the,,,
58482,1,artery,,,
57674,1,findings,,,
55521,3,computed tomography,ct,,
55017,1,contrast,contrast,,
53336,1,h,,,
52334,1,white,,,
50492,3,the patient,,,
50425,1,treatment,,,
49350,1,as,,,
49291,3,and the,,,
48860,1,staining,,,
48359,1,no,_assertion_absent,,
46681,1,s,,,
46668,1,chest,thorax,,
45705,1,months,,,
45454,1,t2,,,
45317,1,resonance,mri,,
7970,1,metastasis,malignant,,
43627,1,year,,,
42540,1,red,,,
42341,3,from the,,,
41922,1,5,,,
41648,1,that,,,
40670,1,t1,,,
39871,1,magnification,,,
39692,1,magnetic,,,
7095,1,infiltrate,,,
39003,3,with a,,,
38910,3,magnetic resonance,mri,,
38696,1,4,,,
38647,1,anterior,,,
37776,1,old,,,
37499,1,cm,,,
21,5,from the lung,,,
36783,1,before,,,
36734,1,bone,,,
36697,1,brain,head,,
35602,1,coronal,,,
35474,1,lower,,,
35450,1,eosin,,,
35126,1,demonstrating,,,
35090,1,cell,pathology,,
35057,1,lateral,,,
35054,1,enhanced,,,
35025,1,sagittal,sagittal,,
34963,1,biopsy,,,
21,5,preoperative axial t2,,,
34196,1,large,,,
34167,1,posterior,,,
34059,1,lung,,,
33785,1,f,,,
32866,1,small,,,
32764,1,bilateral,,,
32752,1,upper,,,
31678,3,year-old,,,
31596,1,positive,,,
31326,1,stain,,,
30810,1,both,,,
30768,1,high,,,
30748,1,day,,,
30649,1,mm,,,
30631,1,revealed,,,
30480,1,6,,,
30470,3,resonance imaging,mri,,
30437,1,hematoxylin,,,
30404,3,ct scan,ct,,
30333,1,multiple,,,
30010,3,of a,,,
29828,1,up,,,
29786,3,the tumor,,,
29688,3,images of,,,
29600,1,black,,,
29493,1,show,,,
29490,1,area,,,
29455,1,normal,,,
29326,1,seen,,,
29259,1,lobe,,,
28765,3,showing the,,,
28735,1,post,,,
28702,1,wall,,,
28513,1,during,,,
21,5,of right temporal,,,
27814,1,examination,,,
27737,3,h&e,h&e,,
27593,1,which,,,
21,5,about 1 cm,,,
27068,1,angiography,angiography,,
27046,3,showing a,,,
26915,1,eye,,,
25934,3,with the,,,
25542,3,after the,,,
25503,1,two,,,
21,5,an axial t2,,,
25340,1,signal,,,
25307,1,or,,,
21,5,an 8-year,,,
25201,1,postoperative,,,
6125,1,adenocarcinoma,,,
24261,1,ray,,,
23970,3,view of,,,
23952,1,abdominal,abdomen,,
23734,1,clinical,,,
23589,1,first,,,
23545,1,follow,,,
23467,1,within,,,
23356,1,pulmonary,,,
23116,1,there,,,
23064,1,this,,,
23052,1,well,,,
23032,1,0,,,
22738,1,enhancement,,,
22726,1,liver,abdomen,,
22290,1,surgery,,,
22241,1,side,,,
22031,3,and eosin,,,
22014,3,t2-weighted,t2,,
21928,3,x-ray,x_ray,,
21810,1,observed,,,
21621,1,level,,,
21615,1,region,,,
21547,3,in a,,,
21172,1,into,,,
20826,1,initial,,,
20670,1,time,,,
20634,1,shown,,,
20614,1,blue,,,
20607,1,specimen,,,
20553,1,areas,,,
20401,1,performed,,,
20326,1,without,_assertion_absent,,
20260,3,t1-weighted,t1,,
20233,1,radiograph,x_ray,,
20082,3,"a, b",,,
19904,3,white arrow,,,
19781,1,not,,,
19778,1,be,,,
19760,1,diffuse,,,
19696,1,section,,,
19696,3,patient's,,,
19590,1,7,,,
19438,1,yellow,,,
19427,3,follow-up,,,
19216,1,head,head,,
19135,1,8,,,
19121,1,three,,,
19031,1,vein,,,
18974,1,fluid,,,
18896,1,pet,pet,,
18841,1,distal,,,
18808,1,preoperative,,,
18566,3,hematoxylin and,,,
18564,3,and a,,,
18421,1,low,,,
18389,1,10,,,
18286,1,cystic,,,
18118,1,lymph,,,
18102,1,between,,,
18061,1,renal,abdomen,,
17978,1,original,,,
17947,3,months after,,,
17893,1,t,,,
17866,1,also,,,
17819,3,image of,,,
17811,1,changes,,,
17766,1,admission,,,
17661,1,abdomen,abdomen,,
17305,1,features,,,
21,5,body bone scintigraphy,,,
17156,1,appearance,,,
17134,1,therapy,,,
17119,1,increased,,,
17053,1,using,,,
17046,1,analysis,,,
16960,3,findings of,,,
16955,1,days,,,
16848,1,g,,,
16779,1,results,,,
16701,1,years,,,
16607,3,case 1,,,
16550,1,coronary,,,
16534,1,flow,,,
16403,1,line,,,
16373,1,body,,,
16326,3,within the,,,
16312,1,immunohistochemical,ihc,,
16298,1,through,,,
16221,1,note,,,
16216,3,the lesion,,,
16181,1,soft,,,
16143,1,muscle,,,
16134,1,demonstrates,,,
16112,1,month,,,
16045,1,operative,,,
16020,1,size,,,
16010,1,second,,,
16004,1,one,,,
15956,1,intensity,,,
15920,3,into the,,,
15797,1,photograph,medical_photograph,,
15755,3,tumor cells,,,
15706,1,like,,,
15682,1,sinus,,,
15628,1,proximal,,,
15570,1,skin,,,
15567,1,frontal,,,
15460,1,segment,,,
15428,1,intraoperative,,,
15323,1,inferior,,,
15172,1,surgical,,,
15166,1,weeks,,,
15148,1,complete,,,
21,5,and the bladder,,,
15001,1,cerebral,head,,
14961,1,over,,,
14903,1,cyst,,,
14898,1,nerve,,,
14883,1,middle,,,
14866,3,shows a,,,
14861,1,arrowhead,,,
14856,1,internal,,,
14833,1,obtained,,,
5543,1,metastases,malignant,,
14545,1,ultrasound,,,
14414,1,superior,,,
14399,1,presentation,,,
14189,1,mr,,,
14178,3,original magnification,,,
14126,1,course,,,
14108,1,phase,,,
14088,3,the first,,,
14084,3,case 2,,,
13906,3,by the,,,
21,5,ct scans demonstrating,,,
13760,1,disease,,,
13731,1,edema,,,
13681,1,x400,,,
13534,3,that the,,,
13520,1,cervical,neck,,
13520,3,shows the,,,
13482,1,scans,,,
13459,3,contrast-enhanced,contrast,,
13433,3,tomography (ct,,,
13412,1,x100,,,
13389,1,aneurysm,,,
13370,1,spinal,axial_region,,
13344,3,showed a,,,
21,5,"ct, axial view",,,
13287,1,9,,,
13268,1,central,,,
5253,1,papillary,,,
13162,1,green,,,
13134,1,peripheral,,,
13133,3,a large,,,
13127,1,had,,,
13013,1,solid,,,
12980,3,scan of,,,
12968,3,cells with,,,
12939,1,ventricle,,,
12926,1,temporal,head,,
12920,1,patients,,,
12864,1,following,,,
12853,1,indicates,,,
12839,1,surface,,,
12831,3,red arrow,,,
12716,1,pattern,,,
12690,3,and b,,,
12689,3,of case,,,
12615,3,a and,,,
12570,1,indicated,,,
12524,1,associated,,,
12502,3,black arrow,,,
12461,1,type,,,
12441,1,but,,,
12420,1,along,,,
12418,1,marked,,,
12416,1,fundus,,,
12389,1,indicate,,,
12313,1,mild,,,
12248,1,diagnosis,,,
12151,1,ventricular,,,
12145,1,neck,,,
12050,1,spine,axial_region,,
12049,1,non,,,
12009,1,marrow,,,
11978,1,demonstrated,,,
21,5,ct shows multiple,,,
11930,1,nuclei,pathology,,
11897,1,all,,,
11880,1,x200,,,
11829,1,he,,,
11822,1,significant,,,
11801,1,pre,,,
11741,1,severe,,,
11689,1,part,,,
11676,1,panel,,,
11665,1,12,,,
11642,1,presence,,,
11576,1,flair,flair,,
11575,1,defect,,,
11570,1,revealing,,,
11569,1,vessels,,,
11559,3,the anterior,,,
11554,1,hepatic,abdomen,,
11531,1,present,,,
11481,1,p,,,
11476,1,consistent,,,
11463,1,i,,,
11429,3,and after,,,
11409,3,for the,,,
11392,1,node,,,
11380,3,right eye,,,
11374,1,carotid,,,
11367,1,cord,,,
11359,3,presence of,,,
11293,1,photographs,medical_photograph,,
11292,1,arrowheads,,,
11267,3,the posterior,,,
11257,1,angiogram,angiography,,
11251,1,immunohistochemistry,ihc,,
4644,1,lymphoma,,,
11200,3,consistent with,,,
11198,1,views,,,
11192,1,uptake,,,
11156,1,diffusion,,,
11097,1,kidney,abdomen,,
11086,1,negative,,,
3900,1,invasion,,,
11045,1,color,,,
11023,1,acute,,,
11001,1,site,,,
10997,1,sequence,,,
10974,1,thickening,,,
10973,3,the mass,,,
21,5,of a 71,,,
10933,1,around,,,
10838,1,pelvis,pelvis,,
10834,1,stained,,,
10811,1,fracture,,,
10790,3,there is,,,
10784,1,thoracic,thorax,,
3607,3,spindle cells,,,
10763,1,space,,,
10754,1,power,,,
10729,1,located,,,
10709,1,vascular,,,
10705,1,enlarged,,,
10656,3,features of,,,
10623,1,respectively,,,
10622,3,arrow) and,,,
10617,1,pathological,,,
10614,1,primary,,,
10614,3,lesion in,,,
10614,1,reveals,,,
10595,1,resolution,,,
21,5,preoperative mri images,,,
21,5,of right forearm,,,
10561,1,aortic,,,
10536,1,adjacent,,,
10534,1,reconstruction,,,
10521,1,levels,,,
10487,1,pleural,,,
10445,1,fdg,,,
10436,1,mutation,,,
10404,3,and left,,,
10398,1,cavity,,,
10367,1,density,,,
10356,1,figure,,,
10323,1,focal,,,
10305,3,level of,,,
10261,3,the upper,,,
10249,1,necrosis,,,
10227,1,male,,,
10211,1,20,,,
10207,3,patient with,,,
10196,3,left eye,,,
10172,3,image showing,,,
10159,3,of patient,,,
10153,1,axis,,,
10124,1,retinal,,,
10079,1,transverse,,,
10071,1,control,,,
10063,1,irregular,,,
10060,1,enhancing,,,
10044,1,abnormal,,,
10007,3,through the,,,
9990,1,vertebral,axial_region,,
9985,1,taken,,,
9963,1,resected,,,
9927,3,in both,,,
9903,3,lymph node,,,
9901,1,surrounding,,,
9889,1,noted,,,
9886,1,position,,,
9886,1,histological,,,
9874,1,cytoplasm,pathology,,
9859,3,weighted image,,,
9850,3,the lower,,,
9820,1,gadolinium,contrast,,
9818,1,involving,,,
9805,1,radiographs,x_ray,,
9792,1,sections,,,
9781,1,resection,,,
9778,3,scan showing,,,
9771,1,dilated,,,
9746,1,due,,,
9699,3,areas of,,,
9681,3,due to,,,
9679,1,expression,,,
9678,3,tomography scan,ct,,
9660,1,long,,,
9648,1,can,,,
9647,1,oct,oct,,
9605,1,each,,,
9601,3,a-c,,,
9594,3,examination of,,,
9589,1,hyperintense,,,
9531,1,it,,,
9525,1,aspect,,,
9477,1,protein,,,
9470,1,defined,,,
9448,3,between the,,,
9439,1,microscopic,,,
9432,3,ct images,ct,,
9429,3,chest ct,,,
9413,1,extending,,,
3098,1,hyperplasia,,,
9377,1,has,,,
21,5,t2-weighted hyperintense,,,
9337,1,nuclear,,,
9296,1,x40,,,
9276,3,positive for,,,
9262,1,same,,,
9255,1,stent,,,
9215,1,evidence,,,
9208,1,different,,,
9207,3,weighted images,,,
9206,3,appearance of,,,
9206,1,3d,3d,,
9194,3,imaging of,,,
9162,1,venous,,,
9140,1,some,,,
9137,1,age,,,
9109,1,histopathological,,,
9102,3,staining of,,,
2643,1,invasive,,,
9084,3,mass in,,,
9072,3,the level,,,
9067,1,100,,,
9064,3,during the,,,
9052,1,medial,,,
9030,1,diameter,,,
9030,3,"c, d",,,
9018,3,part of,,,
8971,1,shaped,,,
8961,1,short,,,
8952,3,seen in,,,
8926,3,in case,,,
8925,1,extensive,,,
8899,1,measuring,,,
8895,1,response,,,
8893,3,evidence of,,,
8882,1,gene,,,
8869,3,the brain,,,
8862,3,with an,,,
2027,1,infiltrated,,,
8834,1,found,,,
8833,3,bone marrow,,,
21,5,is not observed,,,
8804,3,of right,,,
8786,1,common,,,
8786,1,gastric,abdomen,,
21,5,on the wall,,,
8734,3,area of,,,
8720,3,imaging (mri,,,
8706,1,giant,,,
8694,1,arterial,,,
8656,1,prominent,,,
21,5,abnormal fdg uptake,,,
8650,1,duct,,,
8625,1,lymphocytes,pathology,,
8620,3,b) the,,,
8591,3,eosin staining,,,
8583,1,colon,abdominopelvic_region,,
8582,3,of left,,,
8581,1,l,,,
8563,3,the distal,,,
8544,1,total,,,
8542,1,dimensional,,,
8534,1,basal,,,
21,5,from the esophagus,,,
8499,3,white arrows,,,
8449,1,corresponding,,,
8433,1,hemorrhage,,,
8426,1,its,,,
8411,1,atrium,,,
8404,1,female,,,
21,5,showing a homogeneous,,,
8399,1,thyroid,,,
8389,1,third,,,
8374,3,the second,,,
8371,1,spindle,,,
8354,3,mri of,,,
8349,1,breast,breast,,
8346,3,the chest,,,
8343,1,aorta,,,
8321,1,detected,,,
8321,1,partial,,,
8291,3,the liver,,,
8267,3,before and,,,
8257,1,identified,,,
8255,1,membrane,,,
